TAP,HEATID,STARTTIME,DURATION,MW,O2_AMOUNT,GAS_AMOUNT,TEMP,VALO2_PPM
11,6F0020,2016-01-01 18:35:00, 00: 29,0.5,515073.0,92637.0,1650.0,1242.0
17,6F0020,2016-01-01 19:04:00, 10: 40,16.0,515073.0,92637.0,1650.0,1242.0
17,6F0020,2016-01-01 18:55:00, 03: 00,11.0,515073.0,92637.0,1650.0,1242.0
17,6F0020,2016-01-01 18:37:00, 13: 20,16.75,515073.0,92637.0,1650.0,1242.0
17,6F0020,2016-01-01 18:36:00, 00: 40,0.75,515073.0,92637.0,1650.0,1242.0
16,6F0020,2016-01-01 19:14:00, 00: 10,0.375,515073.0,92637.0,1650.0,1242.0
13,6F0020,2016-01-01 18:36:00, 00: 10,0.0,515073.0,92637.0,1650.0,1242.0
15,6F0020,2016-01-01 19:14:00, 00: 20,0.625,515073.0,92637.0,1650.0,1242.0
15,6F0020,2016-01-01 18:55:00, 00: 10,0.25,515073.0,92637.0,1650.0,1242.0
14,6F0020,2016-01-01 18:54:00, 00: 10,0.25,515073.0,92637.0,1650.0,1242.0
14,6F0020,2016-01-01 18:36:00, 00: 10,0.25,515073.0,92637.0,1650.0,1242.0
11,6F0020,2016-01-01 18:54:00, 00: 30,0.375,515073.0,92637.0,1650.0,1242.0
12,6F0020,2016-01-01 18:54:00, 00: 10,0.125,515073.0,92637.0,1650.0,1242.0
16,6F0020,2016-01-01 18:36:00, 00: 10,0.25,515073.0,92637.0,1650.0,1242.0
11,6F0021,2016-01-01 19:24:00, 00: 30,0.25,540395.0,97869.0,1634.6666666666667,1157.3333333333333
17,6F0021,2016-01-01 19:43:00, 21: 11,29.375,540395.0,97869.0,1634.6666666666667,1157.3333333333333
17,6F0021,2016-01-01 19:25:00, 13: 59,16.625,540395.0,97869.0,1634.6666666666667,1157.3333333333333
16,6F0021,2016-01-01 19:39:00, 00: 20,0.25,540395.0,97869.0,1634.6666666666667,1157.3333333333333
16,6F0021,2016-01-01 19:25:00, 00: 11,0.125,540395.0,97869.0,1634.6666666666667,1157.3333333333333
15,6F0021,2016-01-01 19:43:00, 00: 10,0.125,540395.0,97869.0,1634.6666666666667,1157.3333333333333
15,6F0021,2016-01-01 19:25:00, 00: 10,0.25,540395.0,97869.0,1634.6666666666667,1157.3333333333333
14,6F0021,2016-01-01 19:43:00, 00: 10,0.375,540395.0,97869.0,1634.6666666666667,1157.3333333333333
13,6F0021,2016-01-01 19:25:00, 00: 10,0.25,540395.0,97869.0,1634.6666666666667,1157.3333333333333
11,6F0021,2016-01-01 19:42:00, 00: 20,0.5,540395.0,97869.0,1634.6666666666667,1157.3333333333333
12,6F0021,2016-01-01 19:25:00, 00: 10,0.25,540395.0,97869.0,1634.6666666666667,1157.3333333333333
12,6F0021,2016-01-01 19:43:00, 00: 10,0.0,540395.0,97869.0,1634.6666666666667,1157.3333333333333
11,6F0022,2016-01-01 20:13:00, 00: 40,0.5,571944.0,132732.0,1628.0,945.0
11,6F0022,2016-01-01 20:31:00, 00: 20,0.25,571944.0,132732.0,1628.0,945.0
12,6F0022,2016-01-01 20:31:00, 00: 10,0.25,571944.0,132732.0,1628.0,945.0
13,6F0022,2016-01-01 20:14:00, 00: 10,0.25,571944.0,132732.0,1628.0,945.0
14,6F0022,2016-01-01 20:14:00, 00: 10,0.25,571944.0,132732.0,1628.0,945.0
14,6F0022,2016-01-01 20:31:00, 00: 10,0.125,571944.0,132732.0,1628.0,945.0
15,6F0022,2016-01-01 20:31:00, 00: 10,0.25,571944.0,132732.0,1628.0,945.0
16,6F0022,2016-01-01 20:14:00, 00: 10,0.25,571944.0,132732.0,1628.0,945.0
17,6F0022,2016-01-01 20:14:00, 13: 40,17.625,571944.0,132732.0,1628.0,945.0
17,6F0022,2016-01-01 20:31:00, 02: 50,3.875,571944.0,132732.0,1628.0,945.0
17,6F0022,2016-01-01 20:45:00, 18: 01,24.625,571944.0,132732.0,1628.0,945.0
11,6F0023,2016-01-01 21:47:00, 00: 30,0.375,600788.0,139049.0,1634.6666666666667,999.0
17,6F0023,2016-01-01 22:35:00, 18: 50,25.5,600788.0,139049.0,1634.6666666666667,999.0
11,6F0023,2016-01-01 22:34:00, 00: 40,0.375,600788.0,139049.0,1634.6666666666667,999.0
12,6F0023,2016-01-01 22:13:00, 00: 10,0.0,600788.0,139049.0,1634.6666666666667,999.0
13,6F0023,2016-01-01 21:47:00, 00: 10,0.25,600788.0,139049.0,1634.6666666666667,999.0
13,6F0023,2016-01-01 22:34:00, 00: 10,0.125,600788.0,139049.0,1634.6666666666667,999.0
14,6F0023,2016-01-01 21:48:00, 00: 11,0.0,600788.0,139049.0,1634.6666666666667,999.0
14,6F0023,2016-01-01 22:13:00, 00: 11,0.25,600788.0,139049.0,1634.6666666666667,999.0
