HEATID,TAP_first,STARTTIME_first,DURATION_SEC,MW_mean,TEMP_mean,TEMP_p95,VALO2_mean,VALO2_p95,O2_AMOUNT_sum,GAS_AMOUNT_sum,O2_FLOW_mean,GAS_FLOW_mean
5F0002,14,2015-01-01 01:12:00,60600.0,6.078125,1627.0,1648.3,383.0,400.7,428122.0,175048.0,3963.9622641509436,1527.245283018868
5F0003,11,2015-01-01 01:41:00,120600.0,6.078125,1641.0,1651.8,683.0,696.5,382714.0,156025.0,3771.3991935483873,1556.3266129032259
5F0004,11,2015-01-01 02:26:00,123600.0,3.644230769230769,1636.0,1636.0,700.0,700.0,606453.0,251531.0,3139.3598820058996,1206.5722713864307
5F0005,11,2015-01-01 03:27:00,128460.0,4.4772727272727275,1630.0,1639.7,625.3333333333334,663.6,453178.0,179407.0,4009.9548872180453,1532.0037593984962
5F0006,11,2015-01-01 04:16:00,126000.0,4.534090909090909,1622.0,1644.8,654.6,756.0,460713.0,178593.0,3881.2555555555555,1504.0703703703705
5F0007,11,2015-01-01 06:00:00,120000.0,5.78125,1647.0,1648.8,601.0,630.7,433331.0,165114.0,3957.713768115942,1422.8840579710145
5F0008,11,2015-01-01 06:56:00,123000.0,5.444444444444445,1607.25,1639.0,544.5,653.5999999999999,532232.0,195028.0,4299.223728813559,1416.6677966101695
5F0009,11,2015-01-01 07:48:00,117000.0,5.765625,1653.0,1653.9,698.5,736.75,377021.0,130931.0,3443.829875518672,1219.3070539419086
5F0011,11,2015-01-01 09:22:00,134340.0,3.325,1649.0,1673.8,612.75,716.35,498855.0,170152.0,2966.6206896551726,1048.2896551724139
5F0013,11,2015-01-01 11:14:00,128400.0,6.25,1643.3333333333333,1665.7,608.6666666666666,691.9,414849.0,136868.0,4049.9212598425197,1161.259842519685
5F0015,11,2015-01-01 12:54:00,126600.0,5.96875,1662.0,1662.0,629.0,629.0,425020.0,141467.0,4050.2818532818533,1176.4555984555984
5F0016,11,2015-01-01 13:43:00,115800.0,5.097222222222222,1646.0,1660.4,534.5,592.55,366057.0,116647.0,4573.948936170213,1228.5787234042552
